id;Sexo;Segundos;Nota
1;M;50;20
2;M;51;19,67
3;M;52;19,33
4;M;53;19
5;M;54;18,67
6;M;55;18,33
7;M;56;18
8;M;57;17,67
9;M;58;17,33
10;M;59;17
11;M;60;16,75
12;M;61;16,5
13;M;62;16,25
14;M;63;16
15;M;64;15,75
16;M;65;15,5
17;M;66;15,25
18;M;67;15
19;M;68;14,75
20;M;69;14,5
21;M;70;14,25
22;M;71;14
23;M;72;13,75
24;M;73;13,5
25;M;74;13,25
26;M;75;13
27;M;76;12,8
28;M;77;12,6
29;M;78;12,4
30;M;79;12,2
31;M;80;12
32;M;81;11,8
33;M;82;11,6
34;M;83;11,4
35;M;84;11,2
36;M;85;11
37;M;86;10,8
38;M;87;10,6
39;M;88;10,4
40;M;89;10,2
41;M;90;10
42;M;91;9,8
43;M;92;9,6
44;M;93;9,4
45;M;94;9,4
46;M;95;9,2
47;M;96;9,2
48;M;97;9
49;M;98;9
50;M;99;8,8
51;M;100;8,8
52;M;101;8,6
53;M;102;8,6
54;M;103;8,4
55;M;104;8,4
56;M;105;8,2
57;M;106;8,2
58;M;107;8
59;M;108;8
60;M;109;7,8
61;M;110;7,8
62;M;111;7,6
63;M;112;7,6
64;M;113;7,4
65;M;114;7,4
66;M;115;7,2
67;M;116;7,2
68;M;117;7
69;M;118;7
70;M;119;6,8
71;M;120;6,6
72;M;121;6,4
73;M;122;6,2
74;M;123;6
75;M;124;5,8
76;M;125;5,6
77;M;126;5,4
78;M;127;5,2
79;M;128;5
80;M;129;4,8
81;M;130;4,6
82;M;131;4,4
83;M;132;4,2
84;M;133;4
85;M;134;3,8
86;M;135;3,6
87;M;136;3,4
88;M;137;3,2
89;M;138;3
90;M;139;2,8
91;M;140;2,6
92;M;141;2,4
93;M;142;2,2
94;M;143;2
95;M;144;1,8
96;M;145;1,6
97;M;146;1,4
98;M;147;1,2
99;M;148;1
100;M;149;0,8
101;M;150;0,6
102;M;151;0,4
103;M;152;0,2
104;M;153;0
105;F;60;20
106;F;61;19,67
107;F;62;19,33
108;F;63;19
109;F;64;18,67
110;F;65;18,33
111;F;66;18
112;F;67;17,67
113;F;68;17,33
114;F;69;17
115;F;70;16,75
116;F;71;16,5
117;F;72;16,25
118;F;73;16
119;F;74;15,75
120;F;75;15,5
121;F;76;15,25
122;F;77;15
123;F;78;14,75
124;F;79;14,5
125;F;80;14,25
126;F;81;14
127;F;82;13,75
128;F;83;13,5
129;F;84;13,25
130;F;85;13
131;F;86;12,8
132;F;87;12,6
133;F;88;12,4
134;F;89;12,2
135;F;90;12
136;F;91;11,8
137;F;92;11,6
138;F;93;11,4
139;F;94;11,2
140;F;95;11
141;F;96;10,8
142;F;97;10,6
143;F;98;10,4
144;F;99;10,2
145;F;100;10
146;F;101;9,8
147;F;102;9,6
148;F;103;9,4
149;F;104;9,4
150;F;105;9,2
151;F;106;9,2
152;F;107;9
153;F;108;9
154;F;109;8,8
155;F;110;8,8
156;F;111;8,6
157;F;112;8,6
158;F;113;8,4
159;F;114;8,4
160;F;115;8,2
161;F;116;8,2
162;F;117;8
163;F;118;8
164;F;119;7,8
165;F;120;7,8
166;F;121;7,6
167;F;122;7,6
168;F;123;7,4
169;F;124;7,4
170;F;125;7,2
171;F;126;7,2
172;F;127;7
173;F;128;7
174;F;129;6,8
175;F;130;6,6
176;F;131;6,4
177;F;132;6,2
178;F;133;6
179;F;134;5,8
180;F;135;5,6
181;F;136;5,4
182;F;137;5,2
183;F;138;5
184;F;139;4,8
185;F;140;4,6
186;F;141;4,4
187;F;142;4,2
188;F;143;4
189;F;144;3,8
190;F;145;3,6
191;F;146;3,4
192;F;147;3,2
193;F;148;3
194;F;149;2,8
195;F;150;2,6
196;F;151;2,4
197;F;152;2,2
198;F;153;2
199;F;154;1,8
200;F;155;1,6
201;F;156;1,4
202;F;157;1,2
203;F;158;1
204;F;159;0,8
205;F;160;0,6
206;F;161;0,4
207;F;162;0,2
208;F;163;0
209;F;164;0
210;F;165;0
211;F;166;0
212;F;167;0
213;F;168;0
214;F;169;0
215;F;170;0
216;F;171;0
217;F;172;0
218;F;173;0
219;F;174;0
220;F;175;0
221;F;176;0
222;F;177;0
223;F;178;0
224;F;179;0
225;F;180;0
226;F;181;0
227;F;182;0
228;F;183;0
229;F;184;0
230;F;185;0
231;F;186;0
232;F;187;0
233;F;188;0
234;F;189;0
235;F;190;0
236;F;191;0
237;F;192;0
238;F;193;0
239;F;194;0
240;F;195;0
241;F;196;0
242;F;197;0
243;F;198;0
244;F;199;0
245;F;200;0
246;F;201;0
247;F;202;0
248;F;203;0
249;F;204;0
250;F;205;0
