ID;Ano;Sexo;Cooper_Dist;Cooper_Nota
214;1;M;2502;9,89
215;1;M;2503;9,89
216;1;M;2504;9,9
217;1;M;2505;9,9
218;1;M;2506;9,91
219;1;M;2507;9,91
220;1;M;2508;9,92
221;1;M;2509;9,92
222;1;M;2510;9,92
223;1;M;2511;9,93
224;1;M;2512;9,93
225;1;M;2513;9,93
226;1;M;2514;9,94
227;1;M;2515;9,94
228;1;M;2516;9,94
229;1;M;2517;9,95
230;1;M;2518;9,95
231;1;M;2519;9,95
232;1;M;2520;9,96
233;1;M;2521;9,96
234;1;M;2522;9,97
235;1;M;2523;9,97
236;1;M;2524;9,97
237;1;M;2525;9,98
238;1;M;2526;9,98
239;1;M;2527;9,99
240;1;M;2528;9,99
241;1;M;2529;10
242;1;M;2530;10
243;1;M;2531;10,01
244;1;M;2532;10,01
245;1;M;2533;10,02
246;1;M;2534;10,02
247;1;M;2535;10,03
248;1;M;2536;10,03
249;1;M;2537;10,03
250;1;M;2538;10,04
251;1;M;2539;10,04
252;1;M;2540;10,04
253;1;M;2541;10,05
254;1;M;2542;10,05
255;1;M;2543;10,05
256;1;M;2544;10,06
257;1;M;2545;10,06
258;1;M;2546;10,06
259;1;M;2547;10,07
260;1;M;2548;10,07
261;1;M;2549;10,07
262;1;M;2550;10,08
263;1;M;2551;10,08
264;1;M;2552;10,09
265;1;M;2553;10,09
266;1;M;2554;10,1
267;1;M;2555;10,1
268;1;M;2556;10,11
269;1;M;2557;10,11
270;1;M;2558;10,12
271;1;M;2559;10,12
272;1;M;2560;10,13
273;1;M;2561;10,13
274;1;M;2562;10,13
275;1;M;2563;10,14
276;1;M;2564;10,14
277;1;M;2565;10,14
278;1;M;2566;10,15
279;1;M;2567;10,15
280;1;M;2568;10,15
281;1;M;2569;10,16
282;1;M;2570;10,16
283;1;M;2571;10,16
284;1;M;2572;10,17
285;1;M;2573;10,17
286;1;M;2574;10,17
287;1;M;2575;10,18
288;1;M;2576;10,18
289;1;M;2577;10,19
290;1;M;2578;10,19
291;1;M;2579;10,2
292;1;M;2580;10,2
293;1;M;2581;10,21
294;1;M;2582;10,21
295;1;M;2583;10,22
296;1;M;2584;10,22
297;1;M;2585;10,23
298;1;M;2586;10,23
299;1;M;2587;10,23
300;1;M;2588;10,24
301;1;M;2589;10,24
302;1;M;2590;10,24
303;1;M;2591;10,25
304;1;M;2592;10,25
305;1;M;2593;10,25
306;1;M;2594;10,26
307;1;M;2595;10,26
308;1;M;2596;10,26
309;1;M;2597;10,27
310;1;M;2598;10,27
311;1;M;2599;10,27
312;1;M;2600;10,28
313;1;M;2601;10,28
314;1;M;2602;10,29
315;1;M;2603;10,29
316;1;M;2604;10,3
317;1;M;2605;10,3
318;1;M;2606;10,31
319;1;M;2607;10,31
320;1;M;2608;10,32
321;1;M;2609;10,32
322;1;M;2610;10,33
323;1;M;2611;10,33
324;1;M;2612;10,33
325;1;M;2613;10,34
326;1;M;2614;10,34
327;1;M;2615;10,34
328;1;M;2616;10,36
329;1;M;2617;10,35
330;1;M;2618;10,35
331;1;M;2619;10,36
332;1;M;2620;10,36
333;1;M;2621;10,36
334;1;M;2622;10,37
335;1;M;2623;10,37
336;1;M;2624;10,37
337;1;M;2625;10,38
338;1;M;2626;10,38
339;1;M;2627;10,39
340;1;M;2628;10,39
341;1;M;2629;10,4
342;1;M;2630;10,41
343;1;M;2631;10,41
344;1;M;2632;10,41
345;1;M;2633;10,42
346;1;M;2634;10,42
347;1;M;2635;10,43
348;1;M;2636;10,43
349;1;M;2637;10,44
350;1;M;2638;10,44
351;1;M;2639;10,44
352;1;M;2640;10,45
353;1;M;2641;10,45
354;1;M;2642;10,45
355;1;M;2643;10,46
356;1;M;2644;10,46
357;1;M;2645;10,46
358;1;M;2646;10,46
359;1;M;2647;10,47
360;1;M;2648;10,47
361;1;M;2649;10,47
362;1;M;2650;10,48
363;1;M;2651;10,48
364;1;M;2652;10,49
365;1;M;2653;10,49
366;1;M;2654;10,5
367;1;M;2655;10,5
368;1;M;2656;10,51
369;1;M;2657;10,51
370;1;M;2658;10,52
371;1;M;2659;10,52
372;1;M;2660;10,53
373;1;M;2661;10,53
374;1;M;2662;10,53
375;1;M;2663;10,54
376;1;M;2664;10,54
377;1;M;2665;10,54
378;1;M;2666;10,55
379;1;M;2667;10,55
380;1;M;2668;10,55
381;1;M;2669;10,56
382;1;M;2670;10,56
383;1;M;2671;10,56
384;1;M;2672;10,57
385;1;M;2673;10,57
386;1;M;2674;10,57
387;1;M;2675;10,58
388;1;M;2676;10,58
389;1;M;2677;10,58
390;1;M;2678;10,59
391;1;M;2679;10,59
392;1;M;2680;10,59
393;1;M;2681;10,6
394;1;M;2682;10,6
395;1;M;2683;10,6
396;1;M;2684;10,61
397;1;M;2685;10,61
398;1;M;2686;10,62
399;1;M;2687;10,62
400;1;M;2688;10,63
401;1;M;2689;10,63
402;1;M;2690;10,64
403;1;M;2691;10,64
404;1;M;2692;10,65
405;1;M;2693;10,65
406;1;M;2694;10,66
407;1;M;2695;10,66
408;1;M;2696;10,66
409;1;M;2697;10,67
410;1;M;2698;10,67
411;1;M;2699;10,67
412;1;M;2700;10,68
413;1;M;2701;10,68
414;1;M;2702;10,69
415;1;M;2703;10,69
416;1;M;2704;10,7
417;1;M;2705;10,7
418;1;M;2706;10,71
419;1;M;2707;10,71
420;1;M;2708;10,72
421;1;M;2709;10,72
422;1;M;2710;10,73
423;1;M;2711;10,74
424;1;M;2712;10,75
425;1;M;2713;10,76
426;1;M;2714;10,77
