ID;Ano;Sexo;Abd_Rep;Abd_Nota
238;2;F;20;1,2
239;2;F;21;1,5
240;2;F;22;1,8
241;2;F;23;2,1
242;2;F;24;2,4
243;2;F;25;2,7
244;2;F;26;3
245;2;F;27;3,3
246;2;F;28;3,6
247;2;F;29;3,9
248;2;F;30;4,2
249;2;F;31;4,5
250;2;F;32;4,8
251;2;F;33;5,1
252;2;F;34;5,4
253;2;F;35;5,7
254;2;F;36;6
255;2;F;37;6,3
256;2;F;38;6,6
257;2;F;39;6,9
258;2;F;40;7,2
259;2;F;41;7,5
260;2;F;42;7,8
261;2;F;43;8,1
262;2;F;44;8,4
263;2;F;45;8,7
264;2;F;46;9
265;2;F;47;9,3
266;2;F;48;9,6
267;2;F;49;9,9
268;2;F;50;10,2
269;2;F;51;10,5
270;2;F;52;10,8
271;2;F;53;11
272;2;F;54;11,2
273;2;F;55;11,4
274;2;F;56;11,6
275;2;F;57;11,8
276;2;F;58;12
277;2;F;59;12,2
278;2;F;60;12,4
279;2;F;61;12,6
280;2;F;62;12,8
281;2;F;63;13
282;2;F;64;13,2
283;2;F;65;13,4
284;2;F;66;13,6
285;2;F;67;13,8
286;2;F;68;14
287;2;F;69;14,2
288;2;F;70;14,4
289;2;F;71;14,6
290;2;F;72;14,8
291;2;F;73;15
292;2;F;74;15,2
293;2;F;75;15,4
294;2;F;76;15,6
295;2;F;77;15,8
296;2;F;78;16
297;2;F;79;16,2
298;2;F;80;16,4
299;2;F;81;16,6
300;2;F;82;16,8
301;2;F;83;17
302;2;F;84;17,2
303;2;F;85;17,4
304;2;F;86;17,6
305;2;F;87;17,8
306;2;F;88;18
307;2;F;89;18,2
308;2;F;90;18,4
309;2;F;91;18,6
310;2;F;92;18,8
311;2;F;93;19
312;2;F;94;19,2
313;2;F;95;19,4
314;2;F;96;19,6
315;2;F;97;19,8
316;2;F;98;20
317;2;F;99;20
318;2;F;100;20
319;3;M;0;0
320;3;M;1;0
321;3;M;2;0
322;3;M;3;0
323;3;M;4;0
324;3;M;5;0
325;3;M;6;0
326;3;M;7;0
327;3;M;8;0
328;3;M;9;0
329;3;M;10;0
330;3;M;11;0
331;3;M;12;0
332;3;M;13;0
333;3;M;14;0
334;3;M;15;0
335;3;M;16;0
336;3;M;17;0
337;3;M;18;0
338;3;M;19;0
339;3;M;20;0,8
340;3;M;21;1,1
341;3;M;22;1,4
342;3;M;23;1,7
343;3;M;24;2
344;3;M;25;2,3
345;3;M;26;2,6
346;3;M;27;2,9
347;3;M;28;3,2
348;3;M;29;3,5
349;3;M;30;3,8
350;3;M;31;4,1
351;3;M;32;4,4
352;3;M;33;4,7
353;3;M;34;5
354;3;M;35;5,3
355;3;M;36;5,6
356;3;M;37;5,9
357;3;M;38;6,2
358;3;M;39;6,5
359;3;M;40;6,8
360;3;M;41;7,1
361;3;M;42;7,4
362;3;M;43;7,7
363;3;M;44;8
364;3;M;45;8,3
365;3;M;46;8,6
366;3;M;47;8,9
367;3;M;48;9,2
368;3;M;49;9,5
369;3;M;50;9,8
370;3;M;51;10,1
371;3;M;52;10,4
372;3;M;53;10,6
373;3;M;54;10,8
374;3;M;55;11
375;3;M;56;11,2
376;3;M;57;11,4
377;3;M;58;11,6
378;3;M;59;11,8
379;3;M;60;12
380;3;M;61;12,2
381;3;M;62;12,4
382;3;M;63;12,6
383;3;M;64;12,8
384;3;M;65;13
385;3;M;66;13,2
386;3;M;67;13,4
387;3;M;68;13,6
388;3;M;69;13,8
389;3;M;70;14
390;3;M;71;14,2
391;3;M;72;14,4
392;3;M;73;14,6
393;3;M;74;14,8
394;3;M;75;15
395;3;M;76;15,2
396;3;M;77;15,4
397;3;M;78;15,6
398;3;M;79;15,8
399;3;M;80;16
400;3;M;81;16,2
