id;Sexo;Segundos;Nota
272;M;1763;17,12
273;M;1764;17,1
274;M;1765;17,08
275;M;1766;17,07
276;M;1767;17,05
277;M;1768;17,03
278;M;1769;17,02
279;M;1770;17
280;M;1771;16,98
281;M;1772;16,97
282;M;1773;16,95
283;M;1774;16,93
284;M;1775;16,92
285;M;1776;16,9
286;M;1777;16,88
287;M;1778;16,87
288;M;1779;16,85
289;M;1780;16,83
290;M;1781;16,82
291;M;1782;16,8
292;M;1783;16,78
293;M;1784;16,77
294;M;1785;16,75
295;M;1786;16,73
296;M;1787;16,72
297;M;1788;16,7
298;M;1789;16,68
299;M;1790;16,67
300;M;1791;16,65
301;M;1792;16,63
302;M;1793;16,62
303;M;1794;16,6
304;M;1795;16,58
305;M;1796;16,57
306;M;1797;16,55
307;M;1798;16,53
308;M;1799;16,52
309;M;1800;16,5
310;M;1801;16,48
311;M;1802;16,47
312;M;1803;16,45
313;M;1804;16,43
314;M;1805;16,42
315;M;1806;16,4
316;M;1807;16,38
317;M;1808;16,37
318;M;1809;16,35
319;M;1810;16,33
320;M;1811;16,32
321;M;1812;16,3
322;M;1813;16,28
323;M;1814;16,27
324;M;1815;16,25
325;M;1816;16,23
326;M;1817;16,22
327;M;1818;16,2
328;M;1819;16,18
329;M;1820;16,17
330;M;1821;16,15
331;M;1822;16,13
332;M;1823;16,12
333;M;1824;16,1
334;M;1825;16,08
335;M;1826;16,07
336;M;1827;16,05
337;M;1828;16,03
338;M;1829;16,02
339;M;1830;16
340;M;1831;15,98
341;M;1832;15,97
342;M;1833;15,95
343;M;1834;15,93
344;M;1835;15,92
345;M;1836;15,9
346;M;1837;15,88
347;M;1838;15,87
348;M;1839;15,85
349;M;1840;15,83
350;M;1841;15,82
351;M;1842;15,8
352;M;1843;15,78
353;M;1844;15,77
354;M;1845;15,75
355;M;1846;15,73
356;M;1847;15,72
357;M;1848;15,7
358;M;1849;15,68
359;M;1850;15,67
360;M;1851;15,65
361;M;1852;15,63
362;M;1853;15,62
363;M;1854;15,6
364;M;1855;15,58
365;M;1856;15,57
366;M;1857;15,55
367;M;1858;15,53
368;M;1859;15,52
369;M;1860;15,5
370;M;1861;15,48
371;M;1862;15,47
372;M;1863;15,45
373;M;1864;15,43
374;M;1865;15,42
375;M;1866;15,4
376;M;1867;15,38
377;M;1868;15,37
378;M;1869;15,35
379;M;1870;15,33
380;M;1871;15,32
381;M;1872;15,3
382;M;1873;15,28
383;M;1874;15,27
384;M;1875;15,25
385;M;1876;15,23
386;M;1877;15,22
387;M;1878;15,2
388;M;1879;15,18
389;M;1880;15,17
390;M;1881;15,15
391;M;1882;15,13
392;M;1883;15,12
393;M;1884;15,1
394;M;1885;15,08
395;M;1886;15,07
396;M;1887;15,05
397;M;1888;15,03
398;M;1889;15,02
399;M;1890;15
400;M;1891;14,98
401;M;1892;14,97
402;M;1893;14,95
403;M;1894;14,93
